date,speaker,party,sentence
2020-10-22,BIDEN,Dem,"I don’t understand why this President is unwilling to take on Putin when he’s actually paying bounties to kill American soldiers in Afghanistan, when he’s engaged in activities that are trying to destabilize all of NATO."
2020-10-22,BIDEN,Dem,I don’t know why he doesn’t do it but it’s worth asking the question.
2020-10-22,BIDEN,Dem,Why isn’t that being done?
2020-10-22,BIDEN,Dem,"Any country that interferes with us will, in fact, pay a price because they’re affecting our sovereignty."
2020-10-22,TRUMP,Rep,"Well, let me respond to the first part, as Joe answered."
2020-10-22,TRUMP,Rep,Joe got three and a half million dollars from Russia.
2020-10-22,TRUMP,Rep,"And it came through Putin, because he was very friendly with the former mayor of Moscow and it was the mayor of Moscow’s wife."
2020-10-22,TRUMP,Rep,You got three and a half million dollars.
2020-10-22,TRUMP,Rep,"Your family got three and a half million dollars and you know someday, you’re gonna have to explain — why did you get three and a half?"
2020-10-22,TRUMP,Rep,I never got any money from Russia.
2020-10-22,TRUMP,Rep,I don’t get money from Russia.
2020-10-22,TRUMP,Rep,"Now, about your thing last night, I knew all about that, and through John — who is John Radcliffe, who is fantastic, DNI — he said, the one thing that’s common to both of them, they both want you to lose."
2020-10-22,TRUMP,Rep,Because there has been nobody tougher to Russia.
2020-10-22,TRUMP,Rep,"Between the sanctions, nobody tougher than me on Russia."
2020-10-22,TRUMP,Rep,Between the sanctions between all of what I’ve done with NATO.
2020-10-22,TRUMP,Rep,"You know, I’ve got the NATO countries to put up an extra 130 billion, going to $420 billion a year, that’s to guard against Russia."
2020-10-22,TRUMP,Rep,I sold — while he was selling pillows and sheets — I sold tank busters to Ukraine.
2020-10-22,TRUMP,Rep,There has been nobody tougher on Russia than Donald Trump.
2020-10-22,TRUMP,Rep,"And I’ll tell you, they were so bad."
2020-10-22,TRUMP,Rep,"They took over the, the submarine port."
2020-10-22,TRUMP,Rep,"You remember that very well during your term, during you and Barack Obama."
2020-10-22,TRUMP,Rep,They took over a big part of what should have been Ukraine.
2020-10-22,TRUMP,Rep,You handed it to them.
2020-10-22,TRUMP,Rep,But you were getting a lot of money from Russia.
2020-10-22,TRUMP,Rep,"They were paying you a lot of money and they probably still are, but now, with what came out today, it’s even worse."
2020-10-22,TRUMP,Rep,"All of the emails, the emails are horrible."
2020-10-22,TRUMP,Rep,"The emails of the kind of money that you were raking in, you and your family."
2020-10-22,TRUMP,Rep,"And Joe, you were vice president when some of this was happening."
2020-10-22,TRUMP,Rep,And it should have never happened.
2020-10-22,TRUMP,Rep,And I think you owe an explanation to the American people.
2020-10-22,TRUMP,Rep,"Why is it, somebody just had a news conference a little while ago, who was essentially supposed to work with you and your family, but what he said was damning."
2020-10-22,TRUMP,Rep,"And regardless of me, I think you have to clean it up and talk to the American people."
2020-10-22,TRUMP,Rep,Maybe you can do it right now.
2020-10-22,BIDEN,Dem,I have not taken a penny from any foreign source ever in my life.
2020-10-22,BIDEN,Dem,"We learn that this President paid 50 times the tax in China, has a secret bank account with China, does business in China, and in fact, is talking about me taking money?"
2020-10-22,BIDEN,Dem,"I have not taken a single penny from any country whatsoever, ever, number one."
2020-10-22,BIDEN,Dem,"Number two, this is a president — I have released all of my tax returns."
2020-10-22,BIDEN,Dem,Go look at them.
2020-10-22,BIDEN,Dem,22 years of my tax returns.
2020-10-22,BIDEN,Dem,You have not released a single solitary year of your tax return.
2020-10-22,BIDEN,Dem,What are you hiding?
2020-10-22,BIDEN,Dem,Why are you unwilling?
2020-10-22,BIDEN,Dem,The foreign countries are paying you a lot.
2020-10-22,BIDEN,Dem,Russia is paying you a lot.
2020-10-22,BIDEN,Dem,China is paying a lot.
2020-10-22,BIDEN,Dem,"And your hotels and all your businesses all around the country, all around the world."
2020-10-22,BIDEN,Dem,And China’s building a new road to a new gas… a golf course you have overseas.
2020-10-22,BIDEN,Dem,So what’s going on here?
2020-10-22,BIDEN,Dem,Why don’t you release your tax return or stop talking about corruption?
2020-10-22,TRUMP,Rep,"First of all, I called my accountants — under audit."
2020-10-22,TRUMP,Rep,I’m going to release them as soon as we can.
2020-10-22,TRUMP,Rep,"I want to do it, and it will show how successful, how great this company is."
2020-10-22,TRUMP,Rep,"But much more importantly than that, people were saying $750."
2020-10-22,TRUMP,Rep,"I asked them a week ago, I said, what did I pay?"
2020-10-22,TRUMP,Rep,"They said, sir, you pre-paid tens of millions of dollars."
2020-10-22,TRUMP,Rep,I prepaid my tax.
2020-10-22,TRUMP,Rep,Over the last number of years.
2020-10-22,TRUMP,Rep,"Tens of millions of dollars, I prepaid, because at some point, they think, it’s an estimate."
